scope,libdays,distanceMajor,distanceMinor,distancePatch,releaseFrequencyPerMonth,numberOfMissedReleases,repository,packageIdent,version
dependencies,0,0,0,0,0.5484460694698354,0,/appcenter-cli,/abort-controller,3.0.0
dependencies,0,0,0,0,0.37526059763724806,0,/appcenter-cli,/appcenter-file-upload-client-node,1.2.12
dependencies,-24,1,3,2,0.6996805111821086,18,/appcenter-cli,/node-fetch,2.6.13
dependencies,2353,9,0,0,0.6144343302990898,29,/appcenter-cli,/whatwg-url,5.0.0
dependencies,209,0,1,0,0.2248995983935743,2,/appcenter-cli,/proxy-agent,6.3.0
dependencies,310,0,0,1,0.21450459652706844,1,/appcenter-cli,/agent-base,7.1.0
dependencies,805,0,0,1,0.47295817823516534,1,/appcenter-cli,/debug,4.3.4
dependencies,345,0,0,2,0.1885310290652003,2,/appcenter-cli,/pac-proxy-agent,7.0.0
dependencies,282,0,0,2,0.17110266159695817,2,/appcenter-cli,/get-uri,6.0.1
dependencies,1613,3,2,0,0.6554392353208921,10,/appcenter-cli,/fs-extra,8.1.0
dependencies,0,0,0,0,0.20182992465016147,0,/appcenter-cli,/pac-resolver,7.0.1
dependencies,0,0,0,0,0.23924807747080604,0,/appcenter-cli,/degenerator,5.0.1
dependencies,842,0,3,1,1.465909090909091,8,/appcenter-cli,/ast-types,0.13.4
dependencies,0,0,0,0,0.4353083434099153,0,/appcenter-cli,/escodegen,2.1.0
dependencies,419,0,0,3,0.21728271728271728,3,/appcenter-cli,/socks-proxy-agent,8.0.1
dependencies,0,0,0,0,0.35372144436256453,0,/appcenter-cli,/socks,2.8.3
dependencies,0,0,0,0,0.45024469820554647,0,/appcenter-cli,/ip-address,9.0.5
dependencies,0,0,0,0,0.3891891891891892,0,/appcenter-cli,/appcenter-file-upload-client,0.1.0
dependencies,1779,4,0,2,0.9971940427368875,37,/appcenter-cli,/superagent,5.1.0
dependencies,536,2,0,0,0.277855739545327,3,/appcenter-cli,/form-data,2.5.1
dependencies,0,0,0,0,0.16494845360824742,0,/appcenter-cli,/combined-stream,1.0.8
dependencies,0,0,0,0,0.5747126436781609,0,/appcenter-cli,/mime-types,2.1.35
dependencies,742,0,1,3,0.6852947175198858,6,/appcenter-cli,/qs,6.11.0
dependencies,1156,0,0,2,0.11612903225806452,2,/appcenter-cli,/side-channel,1.0.4
dependencies,1127,0,0,5,0.2,5,/appcenter-cli,/call-bind,1.0.2
dependencies,1097,0,1,4,0.30176026823134955,7,/appcenter-cli,/get-intrinsic,1.1.1
dependencies,1413,1,5,2,0.6330935251798561,12,/appcenter-cli,/readable-stream,3.6.0
dependencies,0,0,0,0,0.20270270270270271,0,/appcenter-cli,/string_decoder,1.3.0
dependencies,0,0,0,0,0.5679287305122495,0,/appcenter-cli,/url-parse,1.5.10
dependencies,0,0,0,0,0.8875739644970414,0,/appcenter-cli,/bplist,0.0.4
dependencies,1086,0,1,1,0.08201701093560146,2,/appcenter-cli,/bplist-creator,0.0.8
dependencies,698,1,3,0,0.29858999170583356,7,/appcenter-cli,/chalk,4.1.2
dependencies,737,2,2,1,0.24114319738017267,8,/appcenter-cli,/ansi-styles,4.3.0
dependencies,0,0,0,0,0.35093582887700536,0,/appcenter-cli,/color-convert,2.0.1
dependencies,1034,2,4,0,0.4544077552256892,14,/appcenter-cli,/supports-color,7.2.0
dependencies,760,0,0,3,0.12482662968099863,3,/appcenter-cli,/cli-table3,0.6.2
dependencies,1010,3,2,0,0.22011617242433507,10,/appcenter-cli,/string-width,4.2.3
dependencies,611,1,1,0,0.1735106998264893,3,/appcenter-cli,/strip-ansi,6.0.1
dependencies,0,0,0,0,0.5341055341055341,0,/appcenter-cli,/es5-ext,0.10.64
dependencies,0,0,0,0,0.20463847203274216,0,/appcenter-cli,/es6-iterator,2.0.3
dependencies,1722,0,0,1,0.03839262861530587,1,/appcenter-cli,/d,1.0.1
dependencies,1585,0,0,1,0.111731843575419,1,/appcenter-cli,/es6-symbol,3.1.3
dependencies,341,0,1,0,0.1607717041800643,1,/appcenter-cli,/ext,1.6.0
dependencies,0,0,0,0,0.07980845969672785,0,/appcenter-cli,/esniff,2.0.1
dependencies,0,0,0,0,0.49073064340239914,0,/appcenter-cli,/from2,2.3.0
dependencies,2845,2,5,2,0.6330935251798561,53,/appcenter-cli,/readable-stream,2.0.6
dependencies,1019,4,0,0,0.9380710659898478,54,/appcenter-cli,/glob,7.2.0
dependencies,0,0,0,0,0.23542600896860985,0,/appcenter-cli,/inflight,1.0.6
dependencies,0,0,0,0,0.14150943396226415,0,/appcenter-cli,/once,1.4.0
dependencies,874,7,0,1,0.6960556844547564,62,/appcenter-cli,/minimatch,3.1.2
dependencies,2208,3,0,0,0.15047518479408659,4,/appcenter-cli,/brace-expansion,1.1.11
dependencies,0,0,0,0,0.1456953642384106,0,/appcenter-cli,/gradle-to-js,2.0.1
dependencies,1015,2,0,3,1.1920529801324502,49,/appcenter-cli,/inquirer,8.2.0
dependencies,1135,3,0,0,0.22613065326633164,6,/appcenter-cli,/ansi-escapes,4.3.2
dependencies,804,1,0,0,0.09415457041977246,1,/appcenter-cli,/cli-cursor,3.1.0
dependencies,1616,2,0,0,0.06336753168376584,2,/appcenter-cli,/restore-cursor,3.1.0
dependencies,1183,2,0,0,0.11624688624411846,2,/appcenter-cli,/onetime,5.1.2
dependencies,0,0,0,0,0.4873646209386282,0,/appcenter-cli,/external-editor,3.1.0
dependencies,1005,0,2,3,0.41343669250646,7,/appcenter-cli,/iconv-lite,0.4.24
dependencies,2391,0,2,3,0.23673827268741782,5,/appcenter-cli,/tmp,0.0.33
dependencies,1478,3,1,0,0.2127659574468085,6,/appcenter-cli,/figures,3.2.0
dependencies,928,3,0,1,0.5052631578947369,12,/appcenter-cli,/ora,5.4.1
dependencies,1246,2,0,14,0.46016823354774866,17,/appcenter-cli,/bl,4.1.0
dependencies,18,1,0,3,1.161290322580645,4,/appcenter-cli,/buffer,5.7.1
dependencies,0,0,0,0,0.13392857142857142,0,/appcenter-cli,/wcwidth,1.0.1
dependencies,2937,2,0,0,0.06907137375287797,5,/appcenter-cli,/defaults,1.0.3
dependencies,251,0,0,2,0.6546336206896551,2,/appcenter-cli,/jsonwebtoken,9.0.0
dependencies,275,1,0,0,0.2733755942947702,1,/appcenter-cli,/jws,3.2.2
dependencies,274,1,0,0,0.22809123649459784,1,/appcenter-cli,/jwa,1.4.1
dependencies,0,0,0,0,0.22641509433962265,0,/appcenter-cli,/ecdsa-sig-formatter,1.0.11
dependencies,162,0,0,3,0.6485825005098919,3,/appcenter-cli,/semver,7.6.0
dependencies,1458,5,0,0,0.8920286798819064,89,/appcenter-cli,/lru-cache,6.0.0
dependencies,125,0,2,1,0.3418540190945488,4,/appcenter-cli,/jszip,3.8.0
dependencies,0,0,0,0,0.8478653036680698,0,/appcenter-cli,/lie,3.3.0
dependencies,1452,2,5,2,0.6330935251798561,27,/appcenter-cli,/readable-stream,2.3.7
dependencies,1321,3,1,0,0.19169329073482427,4,/appcenter-cli,/p-limit,3.1.0
dependencies,358,0,1,0,0.17551755175517553,1,/appcenter-cli,/plist,3.0.6
dependencies,0,0,0,0,0.34609334032511796,0,/appcenter-cli,/pumpify,2.0.1
