scope,libdays,distanceMajor,distanceMinor,distancePatch,releaseFrequencyPerMonth,numberOfMissedReleases,repository,packageIdent,version
dependencies,0,0,0,0,20.0,0,/bhima,/accounting-js,1.1.1
dependencies,0,0,0,0,0.08823529411764706,0,/bhima,/is-string,1.0.7
dependencies,0,0,0,0,0.09890109890109891,0,/bhima,/has-tostringtag,1.0.2
dependencies,0,0,0,0,0.24682893383613302,0,/bhima,/angular-dynamic-locale,0.1.38
dependencies,0,0,0,0,0.16393442622950818,0,/bhima,/angular-growl-notifications,2.6.0
dependencies,0,0,0,0,0.38216560509554137,0,/bhima,/angular-moment,1.3.0
dependencies,0,0,0,0,0.26398491514770583,0,/bhima,/angular-translate-loader-static-files,2.19.1
dependencies,0,0,0,0,0.3601516427969671,0,/bhima,/cron,3.1.7
dependencies,0,0,0,0,0.7313195548489666,0,/bhima,/cross-env,7.0.3
dependencies,0,0,0,0,0.7513914656771801,0,/bhima,/cross-spawn,7.0.3
dependencies,0,0,0,0,0.08746355685131195,0,/bhima,/shebang-command,2.0.0
dependencies,1379,2,0,0,0.22474460839954596,3,/bhima,/which,2.0.2
dependencies,0,0,0,0,1.1181818181818182,0,/bhima,/csvtojson,2.0.10
dependencies,2118,3,0,0,0.11677695601401322,3,/bhima,/strip-bom,2.0.0
dependencies,0,0,0,0,0.47295817823516534,0,/bhima,/debug,4.3.5
dependencies,0,0,0,0,0.7255813953488373,0,/bhima,/excel4node,1.8.2
dependencies,0,0,0,0,0.46923879040667366,0,/bhima,/image-size,1.1.1
dependencies,821,1,0,0,0.2992125984251969,1,/bhima,/queue,6.0.2
dependencies,0,0,0,0,0.3418540190945488,0,/bhima,/jszip,3.10.1
dependencies,0,0,0,0,0.8478653036680698,0,/bhima,/lie,3.3.0
dependencies,307,2,5,2,0.6330935251798561,26,/bhima,/readable-stream,2.3.8
dependencies,0,0,0,0,0.355863921217547,0,/bhima,/express-handlebars,7.1.3
dependencies,2,1,0,0,0.9380710659898478,3,/bhima,/glob,10.4.3
dependencies,0,0,0,0,0.19891500904159132,0,/bhima,/foreground-child,3.2.1
dependencies,2,1,0,1,0.855,4,/bhima,/jackspeak,3.4.1
dependencies,0,0,0,0,0.0,0,/bhima,@isaacs/cliui,8.0.2
dependencies,853,2,2,0,0.22011617242433507,5,/bhima,/string-width,5.1.2
dependencies,0,0,0,0,0.1735106998264893,0,/bhima,/strip-ansi,7.1.0
dependencies,1010,3,2,0,0.22011617242433507,10,/bhima,/string-width,4.2.3
